INSTNM,CITY,STABBR,ZIP,CONTROL,TUITIONFEE_IN,TUITIONFEE_OUT,COSTT4_A,NPT4_PUB,NPT4_PRIV,TUITIONFEE_PROG,PCTPELL,PCTFLOAN,DEBT_MDN,GRAD_DEBT_MDN_SUPP,ADM_RATE,SAT_AVG,AVGFACSAL,UGDS,C150_4,RET_FT4,CDR3,MD_EARN_WNE_P10
Elite Welding Academy LLC,Cincinnati,OH,45246-1013,3,,,,,27702.0,12800.0,0.3577,0.439,5500,9483,,,,65.0,,,0.0,
Galen College of Nursing-Cincinnati,Cincinnati,OH,45241,3,16400.0,16400.0,33343.0,,29150.0,,0.5665,0.8468,16500,24166,,,6427.0,670.0,0.5476,0.7778,0.0,61480.0
Strayer University-North Carolina,Greensboro,NC,27407-2638,3,13920.0,13920.0,,,,,0.7997,0.1614,14000,40621,,,7409.0,2728.0,0.1667,0.0,0.0,40092.0
Strayer University-New Jersey,Piscataway,NJ,08854,3,13920.0,13920.0,,,,,0.6624,0.1076,14000,40621,,,9955.0,536.0,0.0,,0.0,40092.0
International Culinary Arts and Sciences Institute,Chesterland,OH,44026,3,,,,,,,0.0,0.0,,,,,,26.0,,,,
Ohio Media School-Columbus,Columbus,OH,43213,3,,,,,25406.0,18470.0,0.6318,0.682,9500,9500,,,,43.0,,,0.0,37423.0
Ohio Medical Career College,Dayton,OH,45417,3,,,,,16023.0,20100.0,0.5913,0.6174,12402,12403,,,2375.0,121.0,,,0.0,
Chamberlain University-Illinois,Addison,IL,60101,3,20604.0,20604.0,36346.0,,26933.0,,0.2994,0.5584,16458,20919,0.8857,868.0,7902.0,12188.0,0.5,0.7692,0.0,92405.0
Chamberlain University-Ohio,Columbus,OH,43219,3,19686.0,19686.0,38833.0,,32074.0,,0.486,0.7281,16458,20919,0.75,,8876.0,336.0,0.0,0.4,0.0,92405.0
Chamberlain University-Arizona,Phoenix,AZ,85021,3,20462.0,20462.0,39034.0,,37002.0,,0.4352,0.8166,16458,20919,0.875,,8876.0,745.0,0.6667,0.5556,0.0,92405.0
The Salon Professional Academy-Appleton,Appleton,WI,54914,3,,,,,10859.0,18600.0,0.4086,0.2796,8750,9991,,,,85.0,,,0.0,32317.0
Milan Institute of Cosmetology-Vacaville,Vacaville,CA,95688,3,,,,,25234.0,16227.0,0.6302,0.6174,6070,6333,,,,234.0,,,0.0,22378.0
Milan Institute of Cosmetology-Reno,Reno,NV,89502,3,,,,,20960.0,18766.0,0.5567,0.6196,6070,6333,,,,243.0,,,0.0,22378.0
Ottawa University-Online,Overland Park,KS,66211,2,,,,,,,0.2955,0.4518,12500,21500,,,7519.0,328.0,,,0.0,55552.0
Paul Mitchell the School-Esani,Roswell,GA,30076,3,,,,,18769.0,18800.0,0.5461,0.6612,9500,9833,,,,337.0,,,0.0,26287.0
Paul Mitchell the School-Birmingham,Hoover,AL,35216,3,,,,,13735.0,17075.0,0.5161,0.5376,9833,9833,,,,128.0,,,0.0,24367.0
Taft University System,Denver,CO,80222,3,,,,,,,,,PS,PS,,,,1.0,,,0.0,
Mayfield College,Cathedral City,CA,92234,3,,,,,22604.0,16188.0,0.8418,0.8114,9025,9025,,,,316.0,,,0.0,29384.0
Academy of Esthetics and Cosmetology,San Fernando,CA,91340-3212,3,,,,,18458.0,9100.0,0.5366,0.5122,4807,PS,,,,28.0,,,0.0,35089.0
Borner's Barber College,Los Angeles,CA,90047,3,,,,,22045.0,13500.0,0.5758,0.0,PS,PS,,,,41.0,,,,
Paul Mitchell the School-Pasadena,Pasadena,CA,91101,3,,,,,30966.0,15150.0,0.6561,0.6306,6333,6333,,,,200.0,,,0.0,25845.0
San Francisco Institute of Esthetics & Cosmetology Inc,San Francisco,CA,94103,3,,,,,16845.0,12040.0,0.4111,0.4111,6333,6333,,,,202.0,,,0.0,32926.0
Laurus College,San Luis Obispo,CA,93401,3,,,,,15693.0,83400.0,0.6742,0.6278,18334,32416,,,5012.0,794.0,0.3846,0.9211,0.0,30896.0
Healing Hands School of Holistic Health,Escondido,CA,92025,3,,,,,56381.0,15000.0,0.2276,0.2466,5700,6333,,,,256.0,,,0.0,24366.0
Career Development Institute Inc,Los Angeles,CA,90035,3,,,,,21412.0,31993.0,0.663,0.7283,12873,16873,,,,168.0,,,0.0,62209.0
Auguste Escoffier School of Culinary Arts-Boulder,Boulder,CO,80305,3,,,,,12193.0,21476.0,0.4845,0.5283,7619,9653,,,5004.0,8571.0,,,0.0,32001.0
Aspen University,Phoenix,AZ,85040,3,6264.0,6264.0,,,,,0.1287,0.1532,7802,15756,,,6052.0,2396.0,,,0.0,
Institute of Taoist Education and Acupuncture,Louisville,CO,80027,2,,,,,,,,,PS,PS,,,,,,,0.0,
Denver College of Nursing,Denver,CO,80202,3,,,,,,,0.2514,0.6463,21110,26500,,,6295.0,949.0,,,0.0,81809.0
Cambridge College of Healthcare & Technology,Delray Beach,FL,33484,3,14908.0,14908.0,22460.0,,18526.0,,0.5761,0.6794,11125,26250,,,7708.0,1037.0,0.56,,0.0,47792.0
Cozmo Beauty School,Bonita Springs,FL,34135,3,,,,,20231.0,17950.0,0.2857,0.369,7666,8082,,,,68.0,,,0.0,24319.0
Celebrity School of Beauty,Miami,FL,33144,3,,,,,4857.0,5045.0,0.6413,0.6422,6232,6333,,,,884.0,,,0.0,15626.0
Paul Mitchell the School-Atlanta,Atlanta,GA,30318,3,,,,,17887.0,18750.0,0.638,0.6339,6844,12500,,,,301.0,,,0.0,21775.0
Evans Hairstyling College-Rexburg,Rexburg,ID,83440,3,,,,,9349.0,12300.0,0.4,0.1545,6600,PS,,,,67.0,,,0.0,16984.0
Paul Mitchell the School-Rexburg,Rexburg,ID,83440,3,,,,,18012.0,15600.0,0.4894,0.5132,8750,9500,,,,246.0,,,0.0,26774.0
University of Aesthetics & Cosmetology,Chicago,IL,60622-2151,3,,,,,17040.0,14325.0,0.6053,0.75,7917,7917,,,,62.0,,,0.0,28955.0
The University of Aesthetics & Cosmetology,Downers Grove,IL,60515,3,,,,,16241.0,14325.0,0.3689,0.4951,6392,7917,,,,60.0,,,0.0,
Tricoci University of Beauty Culture-Chicago NW,Chicago,IL,60656,3,,,,,19244.0,13184.0,0.5954,0.6496,7307,7307,,,,206.0,,,0.0,28554.0
Tricoci University of Beauty Culture-Glendale Heights,Glendale Heights,IL,60139,3,,,,,16274.0,13184.0,0.5422,0.5511,7307,7307,,,,148.0,,,0.0,27330.0
Tricoci University of Beauty Culture-Peoria,Peoria,IL,61614,3,,,,,20508.0,13184.0,0.6398,0.7109,7307,7307,,,,137.0,,,0.0,26236.0
Tricoci University of Beauty Culture-Rockford,Rockford,IL,61108,3,,,,,18036.0,13684.0,0.6096,0.637,7307,7307,,,,173.0,,,0.0,25109.0
Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,20852,3,,,,,,,0.3265,0.5204,5500,5500,,,,74.0,,,0.0,46719.0
French Academy of Cosmetology,Spring Lake,MI,49456,3,,,,,8284.0,5282.0,0.2301,0.5044,4223,4223,,,,39.0,,,0.0,22797.0
Healing Arts Center,St. Louis,MO,63122,3,,,,,,,0.4286,0.5466,6333,6365,,,,121.0,,,0.0,36447.0
Paul Mitchell the School-Springfield,Springfield,MO,65807,3,,,,,16487.0,9000.0,0.5451,0.5837,6243,7917,,,,263.0,,,0.0,25931.0
Urshan Graduate School of Theology,Wentzville,MO,63385,2,,,,,,,,,PS,PS,,,6350.0,,,,0.0,
Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS,39056,3,,,,,10770.0,16500.0,0.254,0.3492,3604,PS,,,,77.0,,,0.0,28148.0
College of Western Idaho,Nampa,ID,83687,1,3336.0,7344.0,12294.0,7697.0,,,0.2286,0.251,4823,9720,,,7146.0,5898.0,,,0.0,
Aveda Institute-Chapel Hill,Chapel Hill,NC,27514-7001,3,,,,,21152.0,22989.0,0.4923,0.5139,6333,6333,,,,171.0,,,0.0,26873.0
Daoist Traditions College of Chinese Medical Arts,Asheville,NC,28801,3,,,,,,,,,PS,PS,,,,,,,0.0,
Total Image Beauty Academy,Union City,NJ,07087,3,,,,,13423.0,15132.0,0.3134,0.2662,8500,8500,,,,293.0,,,0.0,18720.0
Jersey College,Teterboro,NJ,07608,3,,,,,28490.0,36635.0,0.5753,0.8034,16010,21000,0.6791,967.0,7072.0,4089.0,,,0.0,66087.0
American Institute of Medical Sciences & Education,Piscataway,NJ,08854,3,,,,,40225.0,35525.0,0.2736,0.4544,9500,11995,,,,397.0,,,0.0,40407.0
Casal Institute of Nevada,Las Vegas,NV,89119,3,,,,,14037.0,10684.0,0.6364,0.6491,6333,6333,,,,309.0,,,0.0,25293.0
Career School of NY,Staten Island,NY,10301,2,,,,,8069.0,5470.0,0.3604,0.4112,PS,PS,,,,110.0,,,0.0,35778.0
Yeshiva of Machzikai Hadas,Brooklyn,NY,11219-1408,2,10800.0,10800.0,31390.0,,18970.0,,0.8422,0.0,PS,PS,0.6615,,2494.0,461.0,0.7121,0.9495,,
Aveda Institute-Columbus,Columbus,OH,43214,3,,,,,19538.0,22989.0,0.5277,0.6193,6333,6333,,,,242.0,,,0.0,30231.0
Paul Mitchell the School-Cincinnati,Cincinnati,OH,45241,3,,,,,22003.0,18915.0,0.5569,0.6327,9833,12500,,,,241.0,,,0.0,28363.0
Hands on Therapy,Mesquite,TX,75149,3,,,,,15464.0,11374.0,0.5696,0.5443,7917,7917,,,,41.0,,,0.0,28323.0
MediaTech Institute-Dallas,Dallas,TX,75234,3,,,,,18860.0,35200.0,0.4945,0.5964,14750,20000,,,5067.0,200.0,,,0.0,33293.0
Aveda Arts & Sciences Institute-San Antonio,San Antonio,TX,78259-2792,3,,,,,24217.0,19500.0,0.4889,0.5556,7916,7916,,,,256.0,,,0.0,32162.0
Skin Science Institute,Sandy,UT,84094,3,,,,,18040.0,16050.0,0.1497,0.1497,7667,7667,,,,174.0,,,0.0,27153.0
Pacific Northwest University of Health Sciences,Yakima,WA,98901,2,,,,,,,,,PS,PS,,,10531.0,,,,0.0,
The Chicago School at Anaheim,Anaheim,CA,92806,2,,,,,,,,,10250,20000,,,8024.0,,,,0.0,56899.0
Fortis College-Dothan,Dothan,AL,36303,3,,,,,19325.0,16264.0,0.8182,0.6409,9396,9500,,,,154.0,,,0.0,32754.0
Fortis Institute-Pensacola,Pensacola,FL,32514,3,14767.0,14767.0,29865.0,,24076.0,,0.6593,0.6893,9122,9500,,,5087.0,657.0,,,0.0,26652.0
Fortis College-Montgomery,Montgomery,AL,36109,3,,,,,19380.0,16264.0,0.84,0.6729,9122,9500,,,,305.0,,,0.0,26652.0
Woodland Community College,Woodland,CA,95776,1,1124.0,8184.0,11798.0,4097.0,,,0.2502,0.0073,PS,PS,,,12121.0,2949.0,,,0.0,40042.0
Fortis Institute-Birmingham,Birmingham,AL,35211,3,14561.0,14561.0,29880.0,,22914.0,,0.7853,0.6387,9500,12346,,,5088.0,339.0,,,0.0,32886.0
The Chicago School at Los Angeles,Los Angeles,CA,90017,2,20844.0,20844.0,,,,,0.6056,0.3134,10250,20000,0.4017,,7856.0,324.0,,,0.0,56899.0
Cardiac and Vascular Institute of Ultrasound,Mobile,AL,36606,3,,,,,,,0.3529,0.9216,19156,19160,,,,51.0,,,0.0,52669.0
Studio Academy of Beauty,Chandler,AZ,85224,3,,,,,19585.0,18495.0,0.7386,0.7682,6160,6221,,,,668.0,,,0.0,27201.0
California Nurses Educational Institute,Palm Springs,CA,92264,3,,,,,21278.0,33500.0,0.3137,0.3985,14750,16941,,,,114.0,,,0.0,46895.0
Paul Mitchell the School-Sacramento,Sacramento,CA,95825,3,,,,,19748.0,9360.0,0.5193,0.497,6333,6333,,,,342.0,,,0.0,30336.0
Providence Christian College,Pasadena,CA,91101,2,35147.0,35147.0,51852.0,,25378.0,,0.3382,0.625,14500,25000,0.9252,,5633.0,144.0,0.5263,0.8158,0.0,46264.0
Oxford Academy of Hair Design Inc,Seymour,CT,06483,3,,,,,12671.0,19950.0,0.6207,0.5961,6333,6333,,,,140.0,,,0.0,
Institute of World Politics,Washington,DC,20036,2,,,,,,,,,PS,PS,,,11944.0,,,,0.0,
Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,20064-9997,2,,,,,,,,,PS,PS,,,10077.0,,,,0.0,
Medical Institute of Palm Beach,Greenacres,FL,33463,3,,,,,41411.0,25000.0,0.3958,0.4239,5975,6417,,,,261.0,,,0.0,25811.0
Oliver Finley Academy of Cosmetology,Boise,ID,83714,3,,,,,21522.0,21100.0,0.3935,0.5435,6333,6333,,,,276.0,,,0.0,26323.0
National Career College,Panorama City,CA,91402,3,,,,,17772.0,14350.0,0.708,0.6698,8417,8645,,,6050.0,366.0,,,0.0,19347.0
Aveda Institute-Chicago,Chicago,IL,60657,3,,,,,32988.0,22350.0,0.4022,0.4946,7917,7917,,,,99.0,,,0.0,31369.0
Tricoci University of Beauty Culture-Libertyville,Libertyville,IL,60048,3,,,,,18273.0,13184.0,0.5215,0.5743,7307,7307,,,,193.0,,,0.0,35650.0
Tricoci University of Beauty Culture-Bridgeview,Bridgeview,IL,60455,3,,,,,18154.0,13184.0,0.6852,0.6852,7307,7307,,,,438.0,,,0.0,25671.0
The Temple-A Paul Mitchell Partner School,Frederick,MD,21701,3,,,,,28358.0,20940.0,0.4304,0.5522,9833,9833,,,,167.0,,,0.0,27891.0
Center for Massage,Asheville,NC,28801,3,,,,,16242.0,8945.0,0.2826,0.4239,6333,6333,,,,57.0,,,0.009,19244.0
The Academy of Hair Design LLC,Oklahoma City,OK,73134-8055,3,,,,,15080.0,18100.0,0.3977,0.5114,9833,16500,,,,57.0,,,0.0,23567.0
Toni & Guy Hairdressing Academy-Cranston,Cranston,RI,02920,3,,,,,18493.0,16148.0,0.488,0.6124,7667,11000,,,,113.0,,,0.0,
South Texas Training Center,Pharr,TX,78577,3,12370.0,12370.0,14726.0,,5495.0,,0.7727,0.6364,3500,3677,,,,276.0,,,0.0,29384.0
Columbia College,Vienna,VA,22182,3,,,,,9921.0,9360.0,0.3031,0.1906,6035,7940,,,2750.0,239.0,,,0.0,22160.0
Vermont College of Fine Arts,Montpelier,VT,05602,2,,,,,,,,,,,,,,,,,,
Advanced Welding Institute,South Burlington,VT,05403,3,,,,,24554.0,22500.0,0.4,0.5167,5077,PS,,,,97.0,,,0.0,
Paul Mitchell the School-Memphis,Memphis,TN,38111,3,,,,,20861.0,16775.0,0.5736,0.5675,9833,9833,,,,189.0,,,0.0,25306.0
Pima Medical Institute-East Valley,Mesa,AZ,85209,3,,,,,6526.0,5040.0,0.2433,0.3437,9500,9500,,,5445.0,373.0,,,0.0,38673.0
Paul Mitchell the School-Cleveland,Twinsburg,OH,44087,3,,,,,20344.0,17602.0,0.6143,0.6476,9833,9833,,,,142.0,,,0.0,31064.0
Paul Mitchell the School-Columbus,Columbus,OH,43231,3,,,,,18169.0,17677.0,0.5171,0.6341,9833,9833,,,,166.0,,,0.0,37609.0
Empire Beauty School-Spring Lake Park,Spring Lake Park,MN,55432,3,,,,,17445.0,20538.0,0.5764,0.5,7667,13000,,,,80.0,,,0.0,23925.0
MediaTech Institute-Houston,Houston,TX,77042,3,,,,,16906.0,35200.0,0.7227,0.7143,14750,20000,,,4500.0,96.0,,,0.0,33293.0
Miller-Motte College-Raleigh,Raleigh,NC,27604-6072,3,,,,,21131.0,25240.0,0.6554,0.6441,10661,15917,,,4640.0,214.0,,,0.0,31102.0
Lamson Institute,San Antonio,TX,78238,3,,,,,24617.0,17010.0,0.4534,0.4626,7600,7853,,,5125.0,443.0,,,0.0,38015.0
College of Hair Design-East Campus,Lincoln,NE,68526,3,,,,,14649.0,21916.0,0.4877,0.5567,8031,12000,,,,116.0,,,0.0,28376.0
Fortis College-Salt Lake City,Salt Lake City,UT,84107,3,13112.0,13112.0,32149.0,,25803.0,,0.6087,0.7666,11501,13000,,,6333.0,371.0,,,0.0,34509.0
Polytechnic University of Puerto Rico-Miami,Miami,FL,33166,2,14082.0,14082.0,,,,,0.7059,1.0,12830,22564,,,4483.0,29.0,0.0,,0.0,47540.0
Polytechnic University of Puerto Rico-Orlando,Orlando,FL,32825,2,14262.0,14262.0,21955.0,,20040.0,,0.5913,0.687,12830,22564,,,6030.0,102.0,0.0833,0.2,0.0,47540.0
Ross Medical Education Center-Fort Wayne,Fort Wayne,IN,46805-1046,3,,,,,23193.0,16297.0,0.7862,0.805,5500,9500,,,3218.0,124.0,,,0.001,30072.0
Ross Medical Education Center-Battle Creek,Battle Creek,MI,49015-9393,3,,,,,22416.0,16297.0,0.8462,0.8462,7504,9500,,,,46.0,,,0.0,30060.0
Geisinger Commonwealth School of Medicine,Scranton,PA,18509,2,11131.0,11131.0,,,,,,,PS,PS,,,7212.0,63.0,,,0.0,
Josef's School of Hair Skin & Body-Fargo,Fargo,ND,58103,3,,,,,14285.0,17000.0,0.4622,0.7143,6337,7917,,,,74.0,,,0.0,27987.0
Miller-Motte College-McCann-Allentown,Allentown,PA,18109,3,,,,,,5000.0,0.6004,0.5964,10661,15917,,,4732.0,277.0,,,0.0,31102.0
Salon Success Academy-Fontana,Fontana,CA,92335,3,,,,,10813.0,16900.0,0.6774,0.6452,7176,7177,,,,34.0,,,0.0,22412.0
Salon Success Academy-Redlands,Redlands,CA,92373,3,,,,,14662.0,16900.0,0.5047,0.5399,7176,7177,,,,259.0,,,0.0,22412.0
Strayer University-West Virginia,Scott Depot,WV,25560,3,13920.0,13920.0,23838.0,,16943.0,,0.8507,0.1319,14000,40621,,,9955.0,377.0,0.5,1.0,0.0,40092.0
Paul Mitchell the School-Baton Rouge,Baton Rouge,LA,70816,3,,,,,15535.0,21000.0,0.6357,0.6667,9833,9833,,,,224.0,,,0.0,25699.0
San Joaquin Valley College-Hesperia,Hesperia,CA,92344-8086,3,,,,,23634.0,21997.0,0.6217,0.6719,9773,10674,,,5710.0,437.0,,,0.0,38317.0
South Texas Vocational Technical Institute-Brownsville,Brownsville,TX,78521,3,,,,,19274.0,19735.0,0.7398,0.7663,10661,15917,,,,176.0,,,0.0,31102.0
Miller-Motte College-STVT-Corpus Christi,Corpus Christi,TX,78416,3,,,,,20581.0,21040.0,0.7965,0.8283,10661,15917,,,,392.0,,,0.0,31102.0
University of Minnesota-Rochester,Rochester,MN,55904,1,14400.0,14400.0,27237.0,12785.0,,,0.3556,0.4937,16727,19500,0.7183,1220.0,8346.0,568.0,0.5691,0.7211,0.0,69020.0
Health And Style Institute,Greensboro,NC,27407,3,,,,,37514.0,14545.0,0.3772,0.3656,5500,8444,,,,1112.0,,,0.0,23421.0
CBT Technology Institute-Cutler Bay,Cutler Bay,FL,33157,3,13150.0,13150.0,24772.0,,17375.0,,1.0,1.0,8500,8550,,,4500.0,262.0,,,0.0,29534.0
Capri Beauty College,New Lenox,IL,60451,3,,,,,18116.0,20075.0,0.2407,0.4259,9833,9833,,,,84.0,,,0.0,26804.0
Milan Institute-Bakersfield,Bakersfield,CA,93301,3,,,,,29198.0,15526.0,0.684,0.6389,6333,6333,,,,514.0,,,0.0,24879.0
Homestead Schools,Torrance,CA,90505,2,,,,,15845.0,35750.0,0.5873,0.6667,18040,18040,,,10140.0,176.0,0.9375,,0.0,59398.0
Carrington College-Las Vegas,Las Vegas,NV,89119,3,,,,,30306.0,19146.0,0.6082,0.7537,9298,9500,,,7217.0,359.0,,,0.0,36718.0
Carrington College-Reno,Reno,NV,89511,3,,,,,47705.0,61578.0,0.3451,0.6672,12094,15188,,,8169.0,500.0,,,0.0,43731.0
Chamberlain University-Florida,Jacksonville,FL,32256,3,19686.0,19686.0,34657.0,,29539.0,,0.5327,0.8094,16458,20919,1.0,,7988.0,839.0,0.3333,1.0,0.0,92405.0
Washington Barber College Inc,Little Rock,AR,72209-3820,3,,,,,16141.0,17000.0,1.0,1.0,13022,14000,,,,51.0,,,0.0,8579.0
InterCoast Colleges-Rancho Cordova,Rancho Cordova,CA,95827,3,,,,,23629.0,22500.0,0.5108,0.5054,9500,10313,,,,78.0,,,0.0,36089.0
Horizon University,Indianapolis,IN,46236-2622,2,9840.0,9840.0,,,,,0.1463,0.0488,PS,PS,,,,58.0,,1.0,0.0,65875.0
Beyond 21st Century Beauty Academy,Santa Fe Springs,CA,90670,3,,,,,19155.0,16415.0,0.3822,0.2513,3000,PS,,,,102.0,,,0.0,25139.0
Academy for Jewish Religion California,Los Angeles,CA,90045,2,,,,,,,,,,,,,1333.0,,,,0.0,
Angeles College,Los Angeles,CA,90010,3,,,,,25805.0,32944.0,0.5147,0.663,16000,16522,,,8411.0,484.0,0.9714,0.5,0.0,49108.0
Angeles Institute,ARTESIA,CA,90701-2713,3,,,,,23161.0,31715.0,0.6114,0.6919,14377,17238,,,,132.0,,,0.0,61195.0
Paul Mitchell the School-Temecula,Temecula,CA,92591,3,,,,,33646.0,16625.0,0.5291,0.591,10556,12858,,,,275.0,,,0.0,22452.0
TIGI Hairdressing Academy Guilford,Guilford,CT,06437,3,,,,,19952.0,19250.0,0.3175,0.5556,9659,PS,,,,63.0,,,0.02,
International Institute of Cosmetology,Wethersfield,CT,06109,3,,,,,16901.0,20055.0,0.3234,0.4647,9833,9833,,,,184.0,,,0.0,
Florida School of Traditional Midwifery,Gainesville,FL,32601,2,,,,,,,0.3784,0.5135,35157,PS,,,,73.0,,,0.0,38933.0
Emerald Coast Technical College,DeFuniak Springs,FL,32433,1,,,,15106.0,,7300.0,0.4183,0.0,PS,PS,,,,170.0,,,,36180.0
Immokalee Technical College,Immokalee,FL,34142,1,,,,-120.0,,5142.0,0.3513,0.0,PS,PS,,,,280.0,,,,37652.0
American Academy of Cosmetology,Orange Park,FL,32065,3,,,,,23727.0,16150.0,0.5749,0.599,6333,7638,,,,96.0,,,0.0,23985.0
University of Fort Lauderdale,Lauderhill,FL,33313,2,9810.0,9810.0,20726.0,,15245.0,,0.5812,0.3682,5500,PS,,,3875.0,259.0,0.75,,0.0,38062.0
Aviation Institute of Maintenance-Orlando,Casselberry,FL,32707,3,16757.0,16757.0,28071.0,,22952.0,,0.6475,0.791,24250,31301,,,,297.0,,,0.0,53341.0
Summit Salon Academy,Tampa,FL,33624,3,,,,,19220.0,18000.0,0.4395,0.5446,7389,7389,,,,222.0,,,0.0,27037.0
Summit Salon Academy-Gainesville,Gainesville,FL,32607,3,,,,,15818.0,13245.0,0.6261,0.6261,7667,11000,,,,146.0,,,0.0,27856.0
Tenaj Salon Institute,The Villages,FL,32162,3,,,,,25834.0,16075.0,0.3913,0.4783,9500,13000,,,,62.0,,,0.0,25196.0
Profile Institute of Barber-Styling,Atlanta,GA,30315,3,,,,,20489.0,18650.0,0.56,0.62,16500,PS,,,,26.0,,,0.026,25629.0
Keune Academy by 124,Lawrenceville,GA,30043,3,,,,,15992.0,19585.0,0.3333,0.5385,9833,9833,,,,120.0,,,0.0,30962.0
Pacific Rim Christian University,Honolulu,HI,96819-2228,2,12380.0,12380.0,24042.0,,22668.0,,0.8632,0.5474,13616,PS,,,,113.0,0.5238,0.8571,0.0,40523.0
Paul Mitchell the School-Twin Falls,TWIN FALLS,ID,83301,3,,,,,21245.0,18836.0,0.6563,0.5833,4750,PS,,,,62.0,,,0.0,27947.0
Ambria College of Nursing,Hoffman Estates,IL,60192,3,,,,,,38185.0,0.3218,0.4741,9500,15438,,,6472.0,195.0,,,0.0,67290.0
Midwestern Career College,Chicago,IL,60601,3,,,,,11466.0,17320.0,0.3961,0.4573,7521,7521,,,5495.0,824.0,,,0.0,36432.0
Paul Mitchell the School-Normal,Normal,IL,61761,3,,,,,16843.0,18668.0,0.424,0.568,9833,9833,,,,79.0,,,0.0,26715.0
Aveda Fredric's Institute-Indianapolis,Carmel,IN,46032,3,,,,,23187.0,21575.0,0.3667,0.4806,7389,7389,,,,266.0,,,0.0,31963.0
Summit Salon Academy,Anderson,IN,46013,3,,,,,16124.0,14800.0,0.4434,0.6109,7389,9833,,,,127.0,,,0.0,25337.0
Eric Fisher Academy,Wichita,KS,67212,3,,,,,12934.0,17025.0,0.4178,0.5033,8986,9339,,,,178.0,,,0.0,32858.0
My Le's Beauty College,Gretna,LA,70056,3,,,,,12990.0,13650.0,0.7045,0.0,PS,PS,,,,84.0,,,,18946.0
Blackstone Valley Vocational Regional School District,Upton,MA,01568-1499,1,,,,,,,0.3043,0.5,7454,PS,,,,40.0,,,0.0,
Southern Worcester County Regional Vocational School District,Charlton,MA,01507-1331,1,,,,32513.0,,14500.0,0.3095,0.5476,9500,PS,1.0,,,39.0,,,0.041,
L'esprit Academy,Canton,MI,48187-3669,3,,,,,27617.0,10115.0,0.446,0.446,6333,6333,,,,273.0,,,0.0,22440.0
Marketti Academy of Cosmetology,Waterford,MI,48329,3,,,,,,3315.0,0.1084,0.1566,7081,PS,,,,45.0,,,0.0,14345.0
Avalon School of Cosmetology,Worthington,MN,56187,3,,,,,13095.0,13516.0,0.4,0.0,PS,PS,,,,18.0,,,,28336.0
City Vision University,Kansas City,MO,64106-3028,2,6400.0,6400.0,12568.0,,6709.0,,0.6591,0.0,PS,PS,,,,188.0,,0.6667,0.0,21123.0
Montana Academy of Salons,Great Falls,MT,59405,3,,,,,13158.0,18200.0,0.3516,0.484,9500,9833,,,,147.0,,,0.0,28841.0
National Career Institute,East Orange,NJ,07018,3,,,,,21409.0,10000.0,0.6174,0.4697,6756,6756,,,,148.0,,,0.0,26415.0
Paul Mitchell the School-Albuquerque,Albuquerque,NM,87110,3,,,,,14118.0,15500.0,0.4432,0.4432,7667,10556,,,,113.0,,,0.0,33273.0
International Academy of Style,Reno,NV,89502-1559,3,,,,,20891.0,19350.0,0.5317,0.5805,6333,6333,,,,109.0,,,0.0,32709.0
EDP School,Brooklyn,NY,11235,2,,,,,11808.0,7500.0,0.9146,0.0,PS,PS,,,,155.0,,,,41461.0
New York Medical Career Training Center,Flushing,NY,11354,3,,,,,29174.0,29500.0,0.4299,0.814,12239,14282,1.0,,,87.0,,,0.0,40540.0
Institute of Culinary Education,New York,NY,10281,3,,,,,,,0.2134,0.3942,3972,6439,,,,637.0,,,0.0,47865.0
The Salon Professional Academy-Tonawanda,Tonawanda,NY,14150,3,,,,,16391.0,10639.0,0.3723,0.4526,6333,6333,,,,139.0,,,0.0,26460.0
Paul Mitchell the School-NYC,Staten Island,NY,10306,3,,,,,19024.0,14600.0,0.3786,0.4854,5500,7614,,,,75.0,,,0.008,32002.0
Four County Career Center,Archbold,OH,43502,1,,,,,,,0.007,0.0,PS,PS,,,,129.0,,,,77338.0
Summit Salon Academy-Perrysburg,Perrysburg,OH,43551,3,,,,,13293.0,20390.0,0.3333,0.4407,7917,7917,,,,108.0,,,0.0,22606.0
Portland Actors Conservatory,Portland,OR,97209,2,12115.0,12115.0,34015.0,,29915.0,,0.25,0.5833,PS,PS,0.6667,,,13.0,,,0.0,
Somerset County Technology Center,Somerset,PA,15501-4309,1,,,,16620.0,,16500.0,0.2545,0.3455,11500,PS,,,,50.0,,,0.0,37558.0
Metro Beauty Academy,Allentown,PA,18106,3,,,,,19716.0,17450.0,0.1608,0.2701,8028,8028,,,,174.0,,,0.0,33859.0
Academy for Careers and Technology,Mullins,SC,29574,1,,,,3766.0,,6300.0,0.3542,0.0,PS,PS,,,,45.0,,,,46553.0
Love Beauty School Inc,Manchester,TN,37355,3,,,,,7814.0,15000.0,0.6526,0.6526,6333,7917,,,,64.0,,,0.0,18056.0
Houston International College Cardiotech Ultrasound School,Houston,TX,77099,3,11978.0,11978.0,26053.0,,19158.0,,0.8043,0.9348,14750,PS,0.4,,6570.0,41.0,,,0.0,36432.0
DuVall's School of Cosmetology,Bedford,TX,76021,3,,,,,17859.0,11400.0,0.5094,0.6226,7796,7917,,,,89.0,,,0.0,30572.0
